Id,Descripcion,Marca,Precio Publicado,CC,Promociones,Precio Por Litro,Observaciones,Total Pack,Precio por Lata
83,Cerveza pilsener Mecklenburger 500 cc. ,Mecklenburger,$ 99.0,500.0,No tiene promociones,$ 198.0,El precio es por Lata,No tiene Pack,$ 99.0
84,Cerveza rubia Palermo 1 l. ,Palermo,$ 138.4,1000.0,No tiene promociones,$ 138.4,El precio es por Lata,No tiene Pack,$ 138.4
85,Cerveza dorada Brahma botella 710 cc. ,Brahma,$ 200.0,710.0,No tiene promociones,$ 281.69,El precio es por Lata,No tiene Pack,$ 200.0
86,Cerveza rubia Rabieta golden ale 473 cc. ,Rabieta,$ 195.0,473.0,No tiene promociones,$ 412.26,El precio es por Lata,No tiene Pack,$ 195.0
87,Cerveza ipa Pampa Brewing lata 473 cc. ,Pampa Brewing,$ 170.0,473.0,No tiene promociones,$ 359.41,El precio es por Lata,No tiene Pack,$ 170.0
88,Cerveza roja Rabieta Irish molly otoole 710 cc. ,Rabieta,$ 265.0,710.0,No tiene promociones,$ 373.24,El precio es por Lata,No tiene Pack,$ 265.0
89,Cerveza roja Rabieta ipa 473 cc. ,Rabieta,$ 195.0,473.0,No tiene promociones,$ 412.26,El precio es por Lata,No tiene Pack,$ 195.0
90,Cerveza negra Peñón del Águila 473 cc. ,Peñon del águila,$ 197.0,473.0,No tiene promociones,$ 416.49,El precio es por Lata,No tiene Pack,$ 197.0
91,Cerveza rubia Peñón del Águila mexican lager 473 cc. ,Peñon del águila,$ 197.0,473.0,No tiene promociones,$ 416.49,El precio es por Lata,No tiene Pack,$ 197.0
92,Cerveza rubia Rabieta ipa 473 cc. ,Rabieta,$ 195.0,473.0,No tiene promociones,$ 412.26,El precio es por Lata,No tiene Pack,$ 195.0
93,Cerveza rubia Rabieta golden ale 710 cc. ,Rabieta,$ 265.0,710.0,No tiene promociones,$ 373.24,El precio es por Lata,No tiene Pack,$ 265.0
94,Cerveza rubia Peñón del Águila hefeweizen 473 cc. ,Peñon del águila,$ 197.0,473.0,No tiene promociones,$ 416.49,El precio es por Lata,No tiene Pack,$ 197.0
95,Cerveza negra Peñón del Águila schwarzbier 473 cc. ,Peñon del águila,$ 197.0,473.0,No tiene promociones,$ 416.49,El precio es por Lata,No tiene Pack,$ 197.0
96,Cerveza Rabieta Helles Munich lata 473 cc. ,Rabieta,$ 180.0,473.0,No tiene promociones,$ 380.55,El precio es por Lata,No tiene Pack,$ 180.0
97,Cerveza rubia Peñón del águila 473 cc. ,Peñon del águila,$ 197.0,473.0,No tiene promociones,$ 416.49,El precio es por Lata,No tiene Pack,$ 197.0
